ITEM,SETOR,NUP,EMPRESA,VALOR,COMPETENCIA,CONTRATO,VENCIMENTO_CONTRATO,NOTA_PATRIMONIAL,PARCELA,ITEM_DESPESA,FONTE,NATUREZA_DE_DESPESA,RECURSO,P_A,NUMERO_EMPENHO,IMPOSTO_DE_RENDA,IMPOSTO_ISS,INSS,DATA_PAGAMENTO,VALOR_LIQUIDO,N_DA_LIQUIDAO,Unnamed_30
22,CMMH,24001.005640/2025-21,PROTECTOR,4400.0,2025-01-01,OC,2025-12-17 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77579,2025NE000077,"R$52,80",XXX,XXX,2025-04-01 00:00:00,"R$4.347,20",2025NL000608,
23,CMMH,24001.005642/2025-10,DBI COMERCIO,1860.0,2025-01-01,OC,2025-12-22 00:00:00.000000000,44,626.0,1895,FAE,339030,Produção,77649,2025NE000049,,,,,,,
24,CMMH,24001.005627/2025-71,DE PAULI,4362.0,2025-01-01,OC,2025-12-18 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78657,2025NE000084,"R$52,34",XXX,XXX,2025-03-06 00:00:00,"R$4.309,66",2025NL000371,
25,CMMH,24001.005747/2025-79,PHBR MEDICAL,4000.0,2025-01-01,OC,2025-12-19 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78516,2025NE000078,"R$48,00",XXX,XXX,2025-02-28 00:00:00,"R$3.952,00",2025NL000352,
26,CMMH,24001.005742/2025-46,PANORAMA COMERCIO,6000.0,2025-01-01,OC,2026-01-21 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77587,2025NE000079,"R$72,00",XXX,XXX,2025-04-03 00:00:00,"R$5.928,00",2025NL000650,
27,CMMH,24001.005651/2025-19,MED-SURGERY,2700.0,2025-01-01,OC,2025-05-23 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77597,2025NE000085,,,,,,,
28,CMMH,24001.005934/2025-52,CEI COMERCIO,1200.0,2025-01-01,OC,2025-08-22 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77589,2025NE000080,"R$14,40",XXX,XXX,2025-04-01 00:00:00,"R$1.185,60",2025NL000607,
29,CMMH,24001.005737/2025-33,MEDICAL LIFE,26400.0,2025-01-01,OC,2025-08-22 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77591,2025NE000081,,,,,,,
30,CMMH,24001.005731/2025-66,CEI COMERCIO,78666.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78509,2025NE000082,"R$9,44",XXX,XXX,2025-02-28 00:00:00,"R$777,22",2025NL000346,
31,CMMH,24001.005735/2025-44,UNIT - INDUSTRIA,1020.0,2025-01-01,OC,2025-12-22 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78567,2025NE000083,"R$12,24",XXX,XXX,2025-03-06 00:00:00,"R$1.007,76",2025NL000366,
32,CMMH,24001.005727/2025-06,CEI COMERCIO,78666.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78510,2025NE000058,"R$9,44",XXX,XXX,2025-02-28 00:00:00,"R$777,22",2025NL000347,
33,CMMH,24001.006885/2025-75,SURGICALLMED,920.0,2025-01-01,1454/2024,2025-11-02 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77461,2025NE000038,,,,,,,
34,MANUTENÇÃO,24001.006920/2025-56,GEETA,6899636.0,2025-01-01,093/2019,2025-02-28 00:00:00.000000000,42,567.0,2156,FAE,339039,Produção,76985,2025NE000018,,,,,,,
35,EXAMES,24001.005437/2025-54,COOPNEURO,64080.0,2025-01-01,1170/2019,2025-10-23 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77252,2025NE000048,961.2,xxx,XXX,2025-02-17 00:00:00,"R$63.118,80",2025NL000201,
36,EXAMES,24001.005361/2025-67,COOPNEURO,11180.0,2025-01-01,510/2021,2025-06-22 00:00:00.000000000,44,573.0,2192,FAE,339039,Não Informado,77253,2025NE000046,"R$167,70",XXX,XXX,2025-02-17 00:00:00,"R$11.012,30",2025NL000202,
37,MANUTENÇÃO,24001.003798/2025-66,K G CONSTRUÇÕES,99310057.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,ARQUIVADO,,Não Informado,Não Informado,Não Informado,Não Informado,,0000000000000,,,,,,,
38,MANUTENÇÃO,24001.002900/2025-14,K G CONSTRUÇÕES,12253556.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,44,569.0,2166,FAE,339039,Não Informado,77033,2025NE000016,"R$1.470,43","R$6.126,78","R$6.739,46",2025-02-13 00:00:00,"R$108.198,89",2025NL000184,
39,SEDEP,24001.002513/2025-70,GDI,82885416.0,2025-01-01,Não Informado,,TESOURO,,Não Informado,TESOURO,Não Informado,T/500,T/500,0000000000000,,,,,,,
40,MANUTENÇÃO,24001.001759/2025-24,K G CONSTRUÇÕES,1718691.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,44,570.0,2166,FAE,339039,Produção,77035,2025NE000015,"R$206,34","R$859,35","R$945,28",2025-02-13 00:00:00,"R$15.176,04",2025NL000185,
41,MANUTENÇÃO,24001.001169/2025-00,K G CONSTRUÇÕES,6944508.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,44,571.0,2166,FAE,339039,Produção,77037,2025NE000014,"R$833,34","R$3.472,25","R$3.819,48",2025-02-13 00:00:00,"R$61.320,01",2025NL000186,
42,CMMH,24001.007249/2025-61,SAMTRONIC,14400.0,2025-01-01,884/2024,2025-07-05 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77530,2025NE000026,,,,,,,
43,CMMH,24001.007535/2025-26,BAXTER,92091.0,2025-02-01,1218/2024,2025-05-18 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,79010,2025NE000028,,,,,,,
44,CMMH,24001.006852/2025-25,EDWARDS LIFESCIENCES,12954.0,2025-01-01,OC,2025-05-06 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,78573,2025NE000086,"R$155,45",XXX,XXX,2025-03-06 00:00:00,"R$12.798,55",2025NL000369,
45,CMMH,24001.007081/2025-93,BECTON DICKINSON,540.0,2025-01-01,OC,2025-05-15 00:00:00.000000000,44,629.0,1895,FAE,339030,Produção,79452,2025NE000070,"R$6,48",XXX,XXX,2025-03-17 00:00:00,"R$533,52",2025NL000461,
46,FARMACIA,24001.007606/2025-91,BAXTER,62670.0,2025-02-01,1218/2024,2025-09-19 00:00:00.000000000,44,623.0,1874,FAE,339039,Produção,79019,2025NE000035,,,,,,,
47,CMMH,24001.007091/2025-29,POOLTEX,92437.0,2025-02-01,OC,2025-05-15 00:00:00.000000000,44,629.0,1874,FAE,339030,Produção,77666,2025NE000072,,,,,,,
48,CMMH,24001.007090/2025-84,DNA MED,530.0,2025-02-01,OC,2025-05-09 00:00:00.000000000,44,629.0,1874,FAE,339030,Produção,77667,2025NE000073,,,,,,,
49,CMMH,24001.007089/2025-50,CIRURGICA FERNANDES,560.0,2025-02-01,OC,2025-05-09 00:00:00.000000000,44,639.0,1895,FAE,339030,Produção,78987,2025NE000135,,,,,,,
50,CMMH,24001.007092/2025-73,CIENLABOR,12712.0,2025-02-01,OC,2025-05-23 00:00:00.000000000,44,629.0,1895,FAE,339030,Produção,79012,2025NE000227,,,,,,,
51,CMMH,24001.007312/2025-69,HUNTER CIENTIFICA,2450.0,2025-02-01,OC,2025-08-05 00:00:00.000000000,123,652.0,1895,FAE,339030,Produção,79913,2025NE000183,"R$29,40",XXX,XXX,2025-03-27 00:00:00,"R$2.420,60",2025NL000553,
52,CMMH,24001.007093/2025-18,MED-SURGERY,9000.0,2025-02-01,OC,2025-05-23 00:00:00.000000000,44,628.0,1895,FAE,339030,Produção,77655,2025NE000059,,,,,,,
53,CMMH,24001.007380/2025-28,UNIVEN,3155.0,2025-02-01,OC,2025-09-26 00:00:00.000000000,123,652.0,1895,FAE,339030,Produção,78988,2025NE000179,,,,,,,
54,CMMH,24001.007617/2025-71,J.R. COMERCIO,1816.0,2025-02-01,OC,2025-09-24 00:00:00.000000000,44,628.0,1895,FAE,339030,Produção,78861,2025NE000060,,,,,,,
55,CMMH,24001.007588/2025-47,I. S COSTA,5346.0,2025-02-01,OC,2025-09-29 00:00:00.000000000,44,628.0,1895,FAE,339030,Produção,77656,2025NE000061,,,,,,,
56,CMMH,24001.007623/2025-28,DATA - MEDICAL,1800.0,2025-02-01,OC,2025-10-03 00:00:00.000000000,123,652.0,1895,FAE,339030,Produção,80174,2025NE000178,"R$21,60",XXX,XXX,2025-03-28 00:00:00,"R$1.778,40",2025NL000587,
57,CMMH,24001.007625/2025-17,VIVA CARE,19250.0,2025-02-01,OC,2025-10-03 00:00:00.000000000,123,668.0,1895,FAE,339030,Produção,80178,2025NE000229,"R$231,00",XXX,XXX,2025-03-28 00:00:00,"R$19.019,00",2025NL000589,
58,ALMOXARIFADO,24001.007751/2025-71,ICLEANPRO,33800.0,2025-02-01,1699/2024,2025-06-04 00:00:00.000000000,44,619.0,1882,FAE,339039,Produção,77622,2025NE000022,,,,,,,
59,CMMH,24001.007085/2025-71,AGILE DISTRIBUIDORA,1720.0,2025-02-01,OC,2025-05-15 00:00:00.000000000,44,628.0,1895,FAE,339030,Produção,82585,2025NE000062,,,,,,,
60,CMMH,24001.007860/2025-99,B BRAUN,18385979.0,2025-02-01,1023/2024,2025-07-28 00:00:00.000000000,44,624.0,1895,FAE,339039,Produção,80119,2025NE000024,"R$2.206,32",XXX,XXX,2025-03-27 00:00:00,"R$181.653,47",2025NL000561,
61,INFORMATICA,24001.007280/2025-00,MGL,1143774.0,2025-01-01,1041/2022,2025-12-28 00:00:00.000000000,44,53.0,3082,FAE,339040,produção,77642,2025NE000044,,,,,,,
62,SEAGE, 24001.007129/2025-63,BARRETO EXTINTORES,8726.0,2025-01-01,1531/2024,2025-11-06 00:00:00.000000000,44,575.0,2156,FAE,339039,Produção,77406,2025NE000043,,,,,,,
63,CMMH,24001.007982/2025-85,WILLIANA PAIVA,105000.0,2025-02-01,1462/2024,2025-10-25 00:00:00.000000000,44,621.0,1895,FAE,339030,Produção,77531,2025NE000027,,,,,,,
64,ALMOXARIFADO,24001.007931/2025-53,CONCEITO COMERCIO,8200.0,2025-02-01,1532/2024,2025-05-07 00:00:00.000000000,44,622.0,1882,FAE,339030,Produção,81186,2025NE000025,,,,,,,
65,SEAGE,24001.008068/2025-51,SUPRIMENTO DE FUNDOS,8000.0,2025-02-01,Não Informado,,44,625.0,2479,FAE,339030,Produção,77055,2025NE000041,,,,,,,
66,ALMOXARIFADO,24001.007726/2025-98,FG COMERCIO,8432.0,2025-02-01,OC,2025-08-29 00:00:00.000000000,44,632.0,2479,FAE,339030,Produção,77605,2025NE000091,"R$101,18",XXX,XXX,2025-02-25 00:00:00,"R$8.330,82",2025NL000300,
67,CMMH,24001.008088/2025-22,CEI COMERCIO,4100.0,2025-02-01,1437/2024,2025-11-06 00:00:00.000000000,44,620.0,1895,FAE,339030,Produção,77534,2025NE000029,"R$ 49,20",XXX,XXX,2025-05-30 00:00:00,"R$ 4.050,80",2025NL000029,
68,CMMH,24001.008144/2025-29,ART MEDICA,34800.0,2025-02-01,1385/2024,2025-11-06 00:00:00.000000000,44,620.0,1895,FAE,339030,Produção,78321,2025NE000031,,,,,,,
69,APLV,24001.007767/2025-84,GOLD NUTRI,66600.0,2025-02-01,OC,2025-02-27 00:00:00.000000000,APLV,38.0,2258,TESOURO,339032,T/500,T/500,2025NE000163,,,,,,,
70,CMMH,24001.008250/2025-11,CIRURGICA BRASILEIRA,443745.0,2025-02-01,1404/2024,2025-10-02 00:00:00.000000000,44,620.0,1895,FAE,339030,Produção,78566,2025NE000033,"R$532,49",XXX,XXX,2025-03-06 00:00:00,"R$43.842,01",2025NL000365,
71,EXAMES,24001.009096/2025-96,COAPH,3255277.0,2025-01-01,1287/2023,2025-12-19 00:00:00.000000000,44,574.0,Não Informado,FAE,Não Informado,Não Informado,77254,2025NE000045,,,,,,,
NP0040,Não Informado,,Não Informado,,,Não Informado,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
NP0044,Não Informado,,Não Informado,,,Não Informado,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
72,CMMH,24001.009295/2025-02,SURGICALLMED,3170.0,2025-02-01,1454/2024,2025-11-02 00:00:00.000000000,44,640.0,1895,FAE,339030,Não Informado,,2025NE000136,,,,,,,
73,APLV,24001.008194/2025-14,GOLD NUTRI,466800.0,2025-02-01,OC,2025-11-29 00:00:00.000000000,APLV,37.0,2258,TESOURO,339032,T/500,T/500,2025NE000054,,,,,,,
74,FARMACIA,24001.009121/2025-31,UNIAO QUIMICA,149184.0,2025-02-01,OC,2025-09-15 00:00:00.000000000,123,666.0,1874,FAE,339030,Produção,80693,2025NE000218,"R$17,90",XXX,XXX,2025-04-02 00:00:00,"R$1.473,94",2025NL000634,
75,FARMACIA,24001.009606/2025-25,DNE - COMERCIO,91200.0,2025-02-01,1307/2024,2025-10-08 00:00:00.000000000,228,677.0,1894,FAE,339030,Produção,79584,2025NE000280,"R$1.094,40",XXX,XXX,2025-03-17 00:00:00,"R$90.105,60",2025NL000465,
76,ALMOXARIFADO,24001.008195/2025-51,SOLERO COMERCIO,49296.0,2025-02-01,OC,2025-06-18 00:00:00.000000000,123,655.0,1882,FAE,339030,Produção,82376,2025NE000193,,,,,,,
77,ALMOXARIFADO,24001.008198/2025-94,J.V. MAXIMUS,3269.0,2025-02-01,OC,2025-06-18 00:00:00.000000000,123,646.0,1882,FAE,339030,Produção,81582,2025NE000155,,,,,,,
78,FARMACIA,24001.008480/2025-71,ESTRATTI VEGETALI,18188.0,2025-02-01,OC,2025-03-25 00:00:00.000000000,123,596.0,2149,FAE,339039,Produção,80313,2025NE000214,XXX,XXX,XXX,2025-03-28 00:00:00,"R$1.818,80",2025NL000594,
79,CMMH,24001.008267/2025-60,PANORAMA COMERCIO,153453.0,2025-02-01,OC,2025-12-11 00:00:00.000000000,123,661.0,1895,FAE,339030,Produção,79914,2025NE000222,"R$184,14",XXX,XXX,2025-03-27 00:00:00,"R$15.161,16",2025NL000554,
80,ALMOXARIFADO,24001.008196/2025-03,J.V. MAXIMUS,11521.0,2025-02-01,OC,2025-06-18 00:00:00.000000000,123,655.0,1882,FAE,339030,Produção,78515,2025NE000192,"R$138,25",XXX,XXX,2025-02-28 00:00:00,"R$11.382,75",2025NL000357,
81,LABORATORIO,24001.008528/2025-41,BRITMED,1110.0,2025-02-01,OC,,123,662.0,1894,FAE,339030,Produção,80173,2025NE000212,XXX,XXX,XXX,2025-03-28 00:00:00,"R$1.110,00",2025NL000586,
82,FARMACIA,24001.008691/2025-12,IDEAL FORMULAS,299.0,2025-02-01,OC,2025-11-13 00:00:00.000000000,123,598.0,2149,FAE,339030,Produção,79655,2025NE000232,,,,,,,
83,CMMH,24001.008286/2025-96,IMPACTO PRODUTOS,790.0,2025-02-01,OC,2025-12-18 00:00:00.000000000,123,661.0,1895,FAE,339030,Produção,79869,2025NE000220,"R$9,48",XXX,XXX,2025-03-27 00:00:00,"R$780,52",2025NL000550,
84,FARMACIA,24001.008678/2025-55,CRIS BELLA,20392.0,2025-02-01,OC,2025-05-09 00:00:00.000000000,123,597.0,2149,FAE,339039,Produção,82383,2025NE000231,IMPRESSO,,,,,,
85,TRANSPORTE,24001.009603/2025-91,PRIME,14103418.0,2025-01-01,775/2024,2025-07-11 00:00:00.000000000,123,590.0,2229,FAE,339039,Produção,,2025NE000177,"R$965,28","R$2.784,86",XXX,2025-02-28 00:00:00,"R$137.284,04",2025NL000335,
86,SEAGE,24001.008073/2025-64,SUPRIMENTO DE FUNDOS,8000.0,2025-02-01,Não Informado,,44,572.0,2481,FAE,339039,Produção,77590,2025NE000093,,,,,,,
87,FARMACIA,24001.008581/2025-42,IDEAL FORMULAS,24406.0,2025-02-01,OC,2025-03-25 00:00:00.000000000,123,601.0,2149,FAE,339039,Produção,79656,2025NE000266,,,,,,,
88,FARMACIA,24001.008596/2025-19,ESTRATTI VEGETALI,790.0,2025-02-01,OC,2025-03-25 00:00:00.000000000,123,601.0,2149,FAE,339039,Produção,79917,2025NE000268,,,,,,,
89,CMMH,24001.008307/2025-73,JB FARMA,2419.0,2025-02-01,OC,2025-12-11 00:00:00.000000000,123,661.0,1895,FAE,339030,"Produção
PORT 6.426","79337
84684",2025NE000221,"R$17,87",XXX,XXX,2025-03-13 00:00:00,"R$1.470,93",2025NL000447,
90,FARMACIA,24001.008634/2025-25,FARMACIA IRMAOS NOGUEIRA,1756.0,2025-02-01,OC,2025-10-27 00:00:00.000000000,123,601.0,2149,FAE,339039,Produção,82387,2025NE000267,,,,,,,
91,ALMOXARIFADO,24001.008090/2025-00,F C COMERCIO,9975.0,2025-02-01,OC,2025-04-24 00:00:00.000000000,123,660.0,1885,FAE,339030,Produção ,82391,2025NE000209,,,,,,,
92,APLV,24001.007779/2025-17,ART MEDICA,126842976.0,2025-02-01,OC,2025-06-16 00:00:00.000000000,TESOURO,37.0,2258,TESOURO,339032,T/500,T/500,2025NE000055,"R$15.221,16",XXX,XXX,2025-03-13 00:00:00,"R$1.253.208,60",2025NL000454,
93,APLV,24001.007813/2025-45,ART MEDICA,13509192.0,2025-02-01,OC,2025-09-18 00:00:00.000000000,TESOURO,37.0,2258,TESOURO,339032,T/500,T/500,2025NE000052,,,,,,,
94,CMMH,24001.007853/2025-97,FORTAL DISTRIBUIDORA,9268.0,2025-02-01,OC,2025-12-18 00:00:00.000000000,123,661.0,1895,FAE,339030,Produção,81321,2025NE000215,,,,,,,
95,APLV,24001.007796/2025-46,ART MEDICA,1479600.0,2025-02-01,OC,2026-01-06 00:00:00.000000000,APLV,,Não Informado,Não Informado,Não Informado,Produção,81319,2025NE000293,"R$17.755,20",XXX,XXX,2025-03-13 00:00:00,"R$1.461.844,80",2025NL000455,
96,ALMOXARIFADO,24001.007861/2025-33,PRISMA DISTRIBUIDORA,418314.0,2025-02-01,OC,2025-06-18 00:00:00.000000000,123,659.0,1878,FAE,339030,Não Informado,,2025NE000202,,,,,,,
97,TRANSPORTE,24001.002439/2025-91,TICKET,1392494.0,2025-01-01,380/2021,,44,585.0,2229,FAE,339039,Produção,77839,2025NE000125,,,,,,,
98,CMMH,24001.009802/2025-08,SURGICALLMED,1280.0,2025-02-01,1454/2024,2025-11-02 00:00:00.000000000,44,634.0,1895,FAE,339030,Produção,77999,2025NE000098,,,,,,,
99,FARMACIA,24001.009650/2025-35,IMPORTEC,31560.0,2025-02-01,1793/2024,2026-01-08 00:00:00.000000000,123,657.0,1894,FAE,339030,Produção,78585,2025NE000198,"R$378,72",XXX,XXX,2025-02-28 00:00:00,"R$31.181,28",NL2025000361,
100,FARMACIA,24001.009608/2025-14,IMPORTEC,42050.0,2025-02-01,541/2024,2025-06-18 00:00:00.000000000,44,636.0,1894,FAE,339030,Produção,78386,2025NE000134,"R$504,60",XXX,XXX,2025-02-27 00:00:00,"R$41.545,40",2025NL000331,
101,MANUTENÇÃO,24001.010048/2025-41,ASSISTEC,35476.0,2025-01-01,854/2019,2025-08-14 00:00:00.000000000,44,578.0,2156,FAE,339039,Produção,78049,2025NE000117,,,,,,,
102,ALMOXARIFADO,24001.009048/2025-06,BRILHARES,127406.0,2025-02-01,OC,2025-03-19 00:00:00.000000000,123,646.0,1882,FAE,339030,Produção,80106,2025NE000157,"R$152,89",XXX,XXX,2025-03-27 00:00:00,"R$12.587,71",2025NL000574,
103,CMMH,24001.008355/2025-61,EQUIPOS MEDICOS,2828.0,2025-02-01,OC,2025-12-18 00:00:00.000000000,123,645.0,1895,FAE,339030,Produção,78862,2025NE000159,,,,,,,
104,FARMACIA,24001.008978/2025-34,HOSPDROGAS,278.0,2025-02-01,OC,2025-06-03 00:00:00.000000000,123,653.0,1874,FAE,339030,Produção,79867,2025NE000181,,,,,,,
105,FARMACIA,24001.008985/2025-36,UNIAO QUIMICA,4560.0,2025-02-01,OC,2025-06-03 00:00:00.000000000,123,653.0,1874,FAE,339030,Produção,80371,2025NE000180,"R$54,72",XXX,XXX,2025-03-28 00:00:00,"R$4.505,28",2025NL000592,
106,ALMOXARIFADO,24001.009039/2025-15,COMERCIAL RIOS,13784.0,2025-02-01,OC,,123,646.0,1882,FAE,339030,Produção,82399,2025NE000158,IMPRESSO,,,,,,
107,FARMACIA,24001.008890/2025-12,SANTA BRANCA,1260.0,2025-02-01,OC,2026-01-20 00:00:00.000000000,123,656.0,1874,FAE,339030,Produção,80435,2025NE000205,"R$15,12",X,X,2025-04-01 00:00:00,"R$1.244,88",2025NL000610,
108,FARMACIA,24001.008914/2025-33,UNI HOSPITALAR,1140.0,2025-02-01,OC,2025-05-20 00:00:00.000000000,123,656.0,1874,FAE,339030,Produção,82437,2025NE000207,"R$13,68",XXX,XXX,2025-05-08 00:00:00,"R$1.126,32",2025NL000966,
109,FARMACIA,24001.008938/2025-92,BELIEVE FARMA,36372.0,2025-02-01,OC,2025-05-20 00:00:00.000000000,123,656.0,1874,FAE,339030,Produção,82439,2025NE000204,,,,,,,
110,FARMACIA,24001.008951/2025-41,NORD PRODUTOS,15200.0,2025-02-01,OC,2025-06-09 00:00:00.000000000,123,656.0,1874,FAE,339030,Produção,82443,2025NE000203,,,,,,,
111,FARMACIA,24001.009127/2025-17,EMMARKA,539175.0,2025-02-01,OC,2025-09-15 00:00:00.000000000,123,656.0,1874,FAE,339030,Produção,79021,2025NE000208,,,,,,,
112,FARMACIA,24001.009600/2025-58,DIAGNOCEL,697962.0,2025-02-01,412/2024,2025-06-27 00:00:00.000000000,123,657.0,1894,FAE,339030,Produção,82451,2025NE000200,,,,,,,
113,MANUTENÇÃO,24001.010809/2025-64,K G CONSTRUÇÕES,5777193.0,2025-02-01,1400/2024,2025-10-07 00:00:00.000000000,44,576.0,2156,FAE,339039,Produção,77102,2025NE000050,"R$693,26","R$2.888,60","R$3.177,46",2025-02-13 00:00:00,"R$51.012,61",2025NL000191,
114,SEAGE,24001.010722/2025-97,ESPÓLIO DE MARISTELA,1159916.0,2025-01-01,1046/2017,,44,582.0,2083,FAE,339036,Produção,77673,2025NE000123,,,,,,,
